"name","geo_point_2d","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.08547067642212,44,44,1,"2012-10"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.75259900093079,50,50,1,"2012-10"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.8522572517395,24,24,1,"2012-10"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.39652490615845,43,43,1,"2012-10"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.58985066413879,48,48,1,"2012-10"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.5831915140152,95,95,1,"2012-10"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",6.07210206985474,42,42,1,"2012-10"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.04381895065308,42,42,1,"2012-10"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",3.95486092567444,69,69,1,"2012-10"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",5.29370355606079,27,27,1,"2012-10"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.05137300491333,37,37,1,"2012-10"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",5.68708324432373,50,48,0.96,"2012-10"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.89102101325989,67,67,1,"2012-10"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.63100743293762,61,61,1,"2012-10"
